item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,champlvl,pinksbought,firstblood,win
3153,1419,3006,3031,3072,1036,17,7,6,5,2,5,496,4,0,0,0,212727,1413,185244,26069,1075,34693,10279,1,22272,22111,6942,9,0,32436,7684,24210,541,16844,14775,2,0,51,106,17,0,0,1
3107,3190,2045,3096,3111,3751,1,5,16,0,1,0,581,0,0,0,0,20409,10334,9717,357,0,6571,5451,5,29211,1735,1077,25,0,19742,5720,13745,276,10976,9175,0,1,26,0,15,0,0,1
3157,3020,3151,3027,1052,1026,9,8,5,2,1,2,477,0,0,0,0,106663,94264,11037,1362,0,18574,3128,1,10547,5890,3922,8,0,23344,9728,12429,1186,12601,11635,2,0,129,0,15,0,0,1
3152,1052,3020,3089,3165,3135,10,5,12,4,2,3,1036,1,0,0,0,165393,143992,20687,714,0,33725,2691,1,11738,6555,3882,15,0,22481,9295,11121,2064,14607,13885,3,0,242,1,17,0,0,0
1037,3036,3042,3071,3047,1053,3,4,9,0,1,0,872,0,0,0,0,105421,1042,98811,5568,0,19909,1996,1,22168,9098,1327,12,0,18891,6267,10910,1713,11544,11780,1,0,176,3,16,1,1,0
1400,2032,3142,3111,3071,1037,7,9,10,2,1,2,520,0,0,0,0,113801,5457,102175,6168,0,22248,9553,1,20495,4737,271,21,0,32919,6649,25336,933,11575,12200,0,0,46,52,14,0,0,0
1055,3031,3085,3006,3072,3035,10,10,9,5,1,2,403,0,0,0,0,159845,1194,157168,1482,1709,28877,5993,3,12775,7862,3285,21,0,27491,11088,14905,1498,13568,12750,0,0,181,18,14,0,0,0
3401,2045,3047,1011,3211,3068,8,7,15,2,2,2,524,1,0,0,0,41507,32958,5567,2981,0,17159,19003,5,31732,828,760,16,0,35282,14630,16406,4244,11326,10150,0,0,38,1,14,0,0,0
1055,3153,1038,3006,3046,3044,8,11,7,2,2,3,312,1,0,0,0,162036,3164,155335,3536,486,26931,5775,3,14324,9988,4093,8,0,29623,8558,20478,586,14140,10450,2,0,238,4,15,0,0,1
3153,3052,3077,3053,3111,1419,10,11,7,3,2,3,385,2,0,0,0,152770,41148,97059,14563,0,22450,25110,1,36641,22107,192,22,0,53368,13052,39938,378,13474,12675,0,0,35,99,16,0,0,1
